,Unnamed: 0,uid,date,app usage in morning,app usage in afternoon,app usage in evening,app usage in night,number of call in morning,number of call in afternoon,number of call in evening,number of call in night,number of Bluetooth contacts morning,number of Bluetooth contacts afternoon,number of Bluetooth contacts evening,number of Bluetooth contacts night,conversation in morning,conversation in afternoon,conversation in evening,conversation in night
20,30,u00,2013-04-23,4,11,15,15,1,2,1,1,0,12,8,0,6.958333333333334,30.025,16.48229166666667,1.4555555555555557
21,31,u00,2013-04-24,6,8,9,14,1,1,2,1,0,3,1,1,2.3708333333333336,13.66111111111111,9.864102564102565,20.6
22,32,u00,2013-04-25,9,24,19,9,1,1,2,1,1,8,10,0,8.176190476190476,46.05833333333334,16.61025641025641,4.799999999999999
23,33,u00,2013-04-26,10,21,20,27,1,2,5,1,1,12,11,0,10.778571428571428,49.1,14.449999999999998,3.9895833333333335
24,34,u00,2013-04-27,17,19,21,19,1,1,2,2,0,0,2,0,14.537500000000001,6.5018518518518515,37.85277777777778,5.799999999999999
25,36,u00,2013-04-29,18,25,20,12,1,2,2,1,1,9,6,0,7.57962962962963,42.036111111111104,14.674358974358977,12.658333333333331
26,37,u00,2013-04-30,5,6,6,3,2,1,1,1,0,3,6,2,2.9633333333333334,14.189583333333333,10.786904761904763,5.75111111111111
27,38,u00,2013-05-01,5,18,30,11,1,4,4,1,0,9,8,6,2.6555555555555554,15.365476190476189,9.122222222222224,7.688888888888888
28,39,u00,2013-05-02,9,8,4,12,2,4,1,2,2,3,2,1,14.464583333333334,6.458333333333333,6.8,9.583333333333334
29,40,u00,2013-05-03,7,12,10,4,2,4,2,1,6,8,6,1,6.681666666666667,16.719444444444445,6.166666666666667,0.0
30,41,u00,2013-05-04,9,0,14,9,1,0,2,2,5,0,6,3,8.465277777777777,0.0,33.4,4.066
31,42,u00,2013-05-05,19,17,17,14,1,2,2,1,14,11,5,0,5.435606060606061,7.348958333333333,27.058333333333334,2.3111111111111113
32,43,u00,2013-05-06,9,17,20,5,3,1,2,1,9,12,4,1,7.354166666666666,7.820512820512819,7.49855072463768,0.0
33,44,u00,2013-05-07,22,21,25,17,1,1,2,1,8,9,2,0,23.847222222222218,22.279761904761905,23.116666666666667,3.5333333333333337
34,45,u00,2013-05-08,19,10,8,20,2,2,1,1,5,6,5,0,11.974074074074073,4.841304347826087,2.75,18.40833333333333
35,46,u00,2013-05-09,7,5,17,14,1,1,3,2,0,7,5,3,0.0,12.15,15.455555555555554,3.4128205128205122
36,47,u00,2013-05-10,9,10,12,9,2,2,3,1,1,11,6,0,7.458333333333333,23.235416666666666,10.816666666666665,15.433333333333334
37,48,u00,2013-05-11,10,12,14,10,1,2,2,1,0,1,2,0,0.0,9.709375000000001,20.045833333333334,2.6141025641025637
38,49,u00,2013-05-12,14,18,9,14,1,3,1,2,0,2,0,1,1.1666666666666667,10.521111111111113,18.7625,12.597222222222221
39,50,u00,2013-05-13,9,14,12,9,2,3,4,1,1,7,6,0,6.093333333333333,18.97222222222222,25.83148148148148,0.0
40,51,u00,2013-05-14,13,13,12,11,1,1,1,1,0,1,0,0,23.866666666666667,7.135714285714286,6.5075,3.961111111111111
41,52,u00,2013-05-15,12,19,21,11,1,4,5,1,0,12,11,0,6.538888888888889,15.275925925925927,16.27314814814815,3.0595238095238098
42,53,u00,2013-05-16,11,12,19,8,1,1,2,1,0,0,3,1,48.25555555555555,62.53333333333333,21.109722222222224,1.9791666666666665
43,54,u00,2013-05-17,8,8,9,9,2,1,2,1,0,3,4,2,31.709999999999997,38.67916666666667,25.92142857142857,22.537499999999998
44,58,u00,2013-05-22,0,0,10,0,0,0,1,1,0,0,2,0,0.0,0.0,3.593333333333333,0.0
45,59,u00,2013-05-23,0,13,10,8,0,3,1,0,0,13,1,0,0.0,16.53939393939394,7.795,6.800000000000001
46,60,u00,2013-05-24,10,11,16,10,1,1,2,1,0,3,11,0,1.6777777777777778,7.0666666666666655,6.583333333333333,9.443333333333332
47,61,u00,2013-05-25,1,26,17,11,1,1,1,1,0,19,7,2,0.0,14.988541666666666,3.5250000000000004,9.45952380952381
48,62,u00,2013-05-26,10,11,12,14,1,1,1,2,0,0,0,3,0.0,4.027777777777778,4.063194444444445,13.23095238095238
49,63,u00,2013-05-27,14,16,17,14,1,1,3,1,0,6,10,0,7.427777777777777,22.419444444444448,13.876923076923076,6.427777777777777
50,64,u00,2013-05-28,15,20,17,15,1,2,4,1,0,12,7,0,11.775,64.2375,13.604444444444445,7.6875
51,65,u00,2013-05-29,17,7,12,16,1,2,4,1,1,6,8,0,8.025,21.712962962962965,16.601388888888888,6.4611111111111095
52,66,u00,2013-05-30,0,6,9,9,0,2,4,1,0,1,16,0,0.0,1.45,13.910784313725488,27.977777777777778
53,67,u00,2013-05-31,10,14,14,11,1,2,3,1,0,3,7,1,2.958333333333333,14.74871794871795,19.08921568627451,8.851515151515152
54,68,u00,2013-06-01,0,11,7,12,0,1,1,2,0,0,0,1,0.0,0.0,0.0,6.216666666666667
55,152,u02,2013-03-27,22,31,29,34,1,1,1,2,3,12,8,2,0.0,0.0,3.0749999999999997,0.0
56,153,u02,2013-03-28,21,24,28,22,1,3,2,1,2,8,9,4,0.0,26.58055555555556,1.961111111111111,12.845833333333333
57,154,u02,2013-03-29,19,22,16,19,1,1,1,1,1,5,5,4,0.0,7.5375,26.394444444444442,0.0
58,155,u02,2013-03-30,16,18,19,17,1,1,1,2,3,4,4,4,0.0,20.036666666666665,14.178333333333333,14.541666666666668
59,156,u02,2013-03-31,21,27,28,21,1,1,1,1,0,2,5,3,0.0,41.733333333333334,8.818749999999998,28.458333333333332
60,157,u02,2013-04-01,18,25,12,23,1,1,1,1,1,9,3,5,0.0,27.78000000000001,12.486904761904762,5.529166666666667
61,158,u02,2013-04-02,12,19,12,14,1,1,2,1,0,7,11,3,1.0,10.354166666666668,29.980303030303027,2.510416666666667
62,159,u02,2013-04-03,15,18,19,16,1,1,1,3,1,6,5,4,1.3333333333333333,0.0,0.0,4.336904761904761
63,160,u02,2013-04-04,22,28,12,24,1,1,1,1,1,4,8,3,0.0,15.6,24.016666666666662,0.0
64,161,u02,2013-04-05,13,21,12,13,1,1,1,1,0,8,7,2,0.0,25.56666666666667,0.0,7.34375
65,162,u02,2013-04-06,16,18,21,15,1,1,1,3,0,4,5,6,0.0,11.166666666666668,10.884848484848487,23.291666666666668
66,163,u02,2013-04-07,12,16,16,24,1,2,1,2,2,4,10,3,0.0,1.1833333333333333,11.325,10.86025641025641
67,164,u02,2013-04-08,3,13,13,20,1,1,1,2,1,5,3,6,1.6833333333333333,17.20714285714286,24.791666666666668,9.047058823529412
68,165,u02,2013-04-09,2,10,11,15,1,1,1,1,2,5,6,3,0.0,14.316666666666666,26.143589743589743,1.85
69,166,u02,2013-04-10,14,14,14,14,1,1,1,1,2,6,5,3,0.0,40.16111111111112,16.349999999999998,2.0722222222222224
70,167,u02,2013-04-11,7,10,9,17,1,1,1,1,0,9,8,3,5.483333333333333,28.00666666666666,21.815,17.625
71,168,u02,2013-04-12,12,17,15,11,1,1,5,3,2,9,4,5,0.0,15.816666666666666,18.688888888888886,15.55
72,169,u02,2013-04-13,9,12,19,9,1,2,1,1,1,6,8,3,0.0,21.100000000000005,12.485,48.47500000000001
73,170,u02,2013-04-14,7,12,9,29,1,1,1,1,2,4,4,3,0.0,56.9,16.01153846153846,5.198888888888889
74,171,u02,2013-04-15,3,18,14,20,1,1,1,1,1,5,9,8,3.7,12.055128205128206,13.758333333333331,7.8500000000000005
75,172,u02,2013-04-16,6,11,13,16,1,1,1,1,3,4,6,3,0.0,32.97,24.894444444444446,11.204761904761906
76,173,u02,2013-04-17,18,20,20,18,1,1,1,2,0,7,5,8,0.0,22.49375,23.93333333333333,20.174074074074074
77,174,u02,2013-04-18,2,7,14,21,1,1,1,1,2,5,3,6,0.0,16.747222222222224,9.731818181818182,29.929999999999996
78,175,u02,2013-04-19,6,10,12,13,1,1,2,1,2,4,4,5,0.0,19.20925925925926,4.91875,25.0625
79,176,u02,2013-04-20,10,14,22,15,1,1,1,1,3,7,7,3,0.0,16.978571428571428,9.733333333333334,27.83518518518519
80,177,u02,2013-04-21,16,24,15,16,1,1,1,1,2,3,6,4,0.0,12.671666666666667,10.375438596491227,11.618750000000002
81,178,u02,2013-04-22,16,20,24,19,1,1,1,2,1,9,11,8,0.0,43.82083333333334,9.02361111111111,12.9875
82,179,u02,2013-04-23,15,21,27,33,1,1,1,1,3,4,9,4,0.0,10.075757575757574,24.813636363636363,14.134848484848483
83,180,u02,2013-04-24,8,11,11,8,1,1,1,2,1,5,4,2,3.922222222222222,11.843055555555557,18.36388888888889,13.099074074074075
84,182,u02,2013-04-26,3,13,10,21,1,1,2,1,1,5,5,2,0.0,2.691666666666667,26.056666666666665,0.0
85,184,u02,2013-04-28,13,11,18,12,1,1,2,1,2,6,10,1,0.0,0.0,13.184848484848485,0.0
86,185,u02,2013-04-29,7,15,24,18,1,1,1,1,2,7,4,6,0.0,11.158333333333335,15.376923076923076,10.004999999999999
87,186,u02,2013-04-30,1,16,20,23,1,1,1,1,2,9,6,6,0.0,11.59,70.43333333333334,16.308333333333334
88,187,u02,2013-05-01,7,14,14,20,1,1,1,2,1,4,9,4,3.0999999999999996,18.291666666666668,10.4125,5.575757575757575
89,188,u02,2013-05-02,6,9,9,21,1,1,1,1,2,4,8,4,0.0,4.596666666666666,0.0,16.097222222222225
90,189,u02,2013-05-03,8,13,16,8,1,1,2,1,1,5,2,3,0.0,4.372222222222223,71.78333333333333,7.677777777777778
91,190,u02,2013-05-04,7,11,15,8,1,1,3,1,1,4,6,6,17.658333333333335,17.173076923076923,14.097222222222223,25.23125
92,191,u02,2013-05-05,15,6,9,15,1,1,1,2,2,5,9,3,0.0,10.073611111111111,13.011458333333334,5.402380952380952
93,192,u02,2013-05-06,9,13,12,9,1,1,1,1,2,7,5,8,4.2,9.136904761904761,0.0,4.987037037037037
94,194,u02,2013-05-08,10,12,13,30,1,1,1,1,1,8,9,5,0.0,2.683333333333333,0.0,9.097619047619046
95,195,u02,2013-05-09,18,10,15,17,1,1,2,2,1,4,11,4,0.0,22.691666666666666,13.253333333333336,41.702380952380956
96,196,u02,2013-05-10,14,15,16,14,1,1,3,1,1,12,11,4,0.0,6.796666666666667,3.6083333333333334,2.703030303030303
97,197,u02,2013-05-11,19,10,10,18,1,3,1,2,2,7,6,2,0.0,20.095238095238095,9.76875,39.23333333333333
98,198,u02,2013-05-12,15,20,10,15,1,1,2,2,1,8,7,11,0.0,0.0,16.724999999999998,6.706666666666668
99,199,u02,2013-05-13,9,14,19,17,1,1,1,1,0,11,12,3,0.0,6.87948717948718,7.992857142857142,5.007575757575758
100,200,u02,2013-05-14,20,20,26,21,1,1,1,1,3,6,12,4,0.0,0.0,156.0,0.0
101,201,u02,2013-05-15,4,22,17,26,1,2,3,1,1,12,8,2,1.1833333333333333,12.174242424242426,17.56388888888889,8.238888888888889
102,202,u02,2013-05-16,6,13,14,11,1,3,1,2,2,8,7,3,0.0,4.625,0.0,3.472222222222222
103,203,u02,2013-05-17,15,16,11,15,1,2,1,2,1,4,4,5,0.0,9.190000000000001,34.93541666666667,0.0
104,204,u02,2013-05-18,16,16,17,15,1,1,1,1,4,3,4,7,9.643333333333334,19.68148148148148,46.233333333333334,26.36388888888889
105,205,u02,2013-05-19,17,17,26,17,1,2,1,1,2,4,10,1,0.0,0.0,3.8666666666666667,0.0
106,206,u02,2013-05-20,12,16,23,21,1,2,3,1,2,10,6,6,0.0,13.180555555555555,10.8625,0.0
107,207,u02,2013-05-21,8,15,11,16,1,1,1,3,2,9,13,3,0.0,1.0,0.0,2.759523809523809
108,208,u02,2013-05-22,8,15,14,21,1,1,3,2,1,8,10,9,0.0,0.0,24.511111111111116,0.0
109,209,u02,2013-05-23,13,15,16,13,1,1,3,1,2,6,8,5,0.0,0.0,49.07777777777778,0.0
110,210,u02,2013-05-24,12,17,16,29,1,2,3,1,4,13,2,9,6.725,15.208333333333332,47.93333333333333,5.276851851851851
111,211,u02,2013-05-25,17,18,21,18,1,1,1,1,1,7,9,3,6.383333333333334,8.716666666666667,14.918333333333337,24.590740740740742
112,212,u02,2013-05-26,10,14,15,11,1,4,1,1,0,8,8,4,3.033333333333333,20.14761904761905,0.0,5.055555555555555
113,213,u02,2013-05-27,13,24,16,19,1,1,1,3,2,7,30,3,0.0,10.081578947368422,0.0,3.3794871794871786
114,214,u02,2013-05-28,6,9,20,20,2,2,2,2,4,11,11,6,6.071428571428571,9.130952380952381,25.55,5.400666666666667
115,215,u02,2013-05-29,14,14,12,15,1,3,2,1,6,9,6,10,20.625,17.878888888888884,15.715151515151517,5.51
116,216,u02,2013-05-30,5,13,15,13,1,2,2,1,2,5,8,5,0.0,12.938095238095238,7.599999999999999,35.29
117,217,u02,2013-05-31,4,13,13,11,1,3,2,1,2,4,12,4,13.03888888888889,15.939743589743589,14.189814814814815,5.208333333333334
118,218,u02,2013-06-01,0,0,0,17,0,0,0,1,0,0,0,1,0.0,0.0,0.0,11.361904761904759
119,459,u08,2013-03-27,6,19,7,18,1,1,1,4,0,7,2,1,0.0,22.200000000000003,17.93333333333333,2.7708333333333335
120,460,u08,2013-03-28,5,13,18,9,1,1,1,1,1,7,11,8,0.0,19.037499999999998,11.924444444444447,8.04814814814815
121,461,u08,2013-03-29,14,17,18,16,1,1,2,2,1,7,7,3,1.85,33.269444444444446,11.412962962962963,2.6314814814814813
122,462,u08,2013-03-30,19,22,21,19,1,1,2,1,0,2,6,5,2.319444444444444,2.6,27.00333333333333,7.180555555555555
123,463,u08,2013-03-31,19,13,23,19,2,1,3,2,1,1,7,2,4.208333333333333,1.1833333333333333,4.788095238095238,9.428333333333333
124,464,u08,2013-04-01,22,33,22,21,1,2,2,2,1,8,7,2,5.1,20.63888888888889,9.137037037037038,6.735294117647059
125,465,u08,2013-04-02,22,26,29,24,1,2,2,5,0,3,9,2,1.0166666666666666,5.5,12.175438596491228,7.546296296296295
126,466,u08,2013-04-03,19,22,24,33,1,1,1,2,0,7,5,2,0.0,22.404761904761905,12.75897435897436,6.922222222222223
127,467,u08,2013-04-04,21,27,27,27,1,1,2,2,1,4,8,4,0.0,18.15,15.108333333333333,6.475757575757577
128,468,u08,2013-04-05,24,27,26,28,1,2,1,2,1,7,6,3,5.854166666666666,23.622916666666665,16.047916666666666,24.01388888888889
129,469,u08,2013-04-06,9,13,17,7,1,1,1,1,1,3,1,1,5.2,9.751851851851852,13.043333333333333,27.277083333333334
130,470,u08,2013-04-07,12,16,22,18,1,2,4,1,0,1,2,3,0.0,9.283333333333335,12.659803921568626,21.108333333333327
131,471,u08,2013-04-08,16,20,21,21,1,2,2,3,1,11,3,2,1.0166666666666666,21.85925925925926,4.546296296296296,8.433333333333334
132,472,u08,2013-04-09,18,22,23,21,1,2,3,3,1,2,6,3,1.8444444444444443,7.05,11.25,12.533333333333333
133,473,u08,2013-04-10,22,24,24,24,1,3,3,2,0,8,8,5,2.8666666666666667,18.690909090909088,12.510714285714286,6.175757575757576
134,474,u08,2013-04-11,24,24,26,24,1,2,3,1,0,2,5,1,0.0,2.0166666666666666,11.716666666666667,5.500000000000001
135,475,u08,2013-04-12,26,29,29,25,1,1,5,3,2,9,0,1,1.8851851851851853,30.323333333333334,2.435416666666667,10.13888888888889
136,476,u08,2013-04-13,30,31,38,31,1,2,4,2,1,0,6,3,0.0,3.8666666666666667,3.508333333333333,18.09166666666667
137,477,u08,2013-04-14,34,39,16,39,1,1,1,3,2,1,3,2,3.441666666666667,1.4333333333333333,9.413095238095238,6.937301587301588
138,478,u08,2013-04-15,15,28,18,19,1,4,3,2,1,5,3,2,25.058333333333334,17.242857142857144,25.466666666666665,21.042222222222225
139,479,u08,2013-04-16,16,21,18,17,1,2,3,2,1,4,8,6,0.0,5.458333333333333,7.496825396825397,4.67
140,480,u08,2013-04-17,17,24,21,19,1,4,3,5,0,5,7,7,0.0,21.6375,7.31764705882353,11.06212121212121
141,481,u08,2013-04-18,20,20,29,20,1,2,4,1,0,5,6,4,11.591666666666667,7.772916666666667,9.828333333333335,8.8875
142,482,u08,2013-04-19,20,24,26,26,1,3,4,2,0,2,5,2,2.1083333333333334,1.58,12.712698412698412,4.4093333333333335
143,483,u08,2013-04-20,24,23,32,27,4,1,3,2,1,4,3,3,0.0,1.9166666666666667,8.067460317460318,8.71111111111111
144,484,u08,2013-04-21,28,28,25,26,1,1,2,1,1,2,5,6,3.4571428571428564,12.64,6.611111111111111,8.3525641025641
145,485,u08,2013-04-22,24,27,35,24,1,1,2,2,3,8,7,2,2.541666666666667,22.84166666666667,8.748412698412698,5.500877192982457
146,486,u08,2013-04-23,29,28,29,37,1,1,1,2,3,1,11,7,1.2222222222222223,1.8416666666666668,10.421296296296296,14.98333333333333
147,487,u08,2013-04-24,28,31,35,33,1,1,4,3,0,0,10,4,1.1833333333333333,4.7,13.700925925925924,6.926190476190477
148,488,u08,2013-04-25,35,34,37,31,1,1,2,5,0,0,0,4,3.3369047619047616,4.551851851851852,9.065873015873015,5.4992753623188415
149,491,u08,2013-04-28,28,32,16,31,1,1,3,3,3,3,5,3,3.0708333333333333,3.2600000000000002,12.281666666666666,3.5654761904761902
150,492,u08,2013-04-29,10,14,27,12,1,4,3,4,2,5,2,3,6.542592592592593,12.242857142857144,9.023529411764704,12.584444444444445
151,493,u08,2013-04-30,26,22,21,29,1,1,1,4,1,1,7,1,12.324074074074074,9.095833333333333,8.611458333333333,13.22063492063492
152,494,u08,2013-05-01,20,23,26,21,1,4,3,4,1,6,5,7,2.2666666666666666,9.673076923076922,12.01372549019608,10.106666666666666
153,495,u08,2013-05-02,25,28,25,26,1,1,2,2,1,2,8,3,1.6749999999999998,17.626190476190477,6.466666666666666,9.41060606060606
154,496,u08,2013-05-03,25,28,30,25,1,1,2,3,2,5,3,4,0.0,15.041666666666666,14.310416666666667,10.837179487179485
155,497,u08,2013-05-04,27,31,17,27,1,2,6,5,2,2,6,4,6.016666666666667,1.85,9.075362318840577,13.7952380952381
156,498,u08,2013-05-05,16,19,27,19,1,2,2,2,3,3,16,3,1.85,17.099999999999998,6.7375,12.870000000000001
157,499,u08,2013-05-06,12,17,30,20,1,3,3,2,3,13,14,10,4.67,9.541666666666666,3.346031746031746,17.75925925925926
158,500,u08,2013-05-07,20,22,23,22,1,2,2,1,2,4,8,8,5.125,3.0900000000000003,9.519999999999998,7.352777777777777
159,501,u08,2013-05-08,23,28,24,25,1,3,2,4,2,10,14,8,5.596666666666666,12.04102564102564,15.863095238095237,7.4981481481481485
160,502,u08,2013-05-09,24,27,27,25,1,2,4,2,2,7,5,9,0.0,7.45,7.714666666666667,10.280952380952382
161,503,u08,2013-05-10,25,29,25,25,1,3,3,1,2,10,3,9,0.0,9.270238095238096,11.272222222222224,12.034210526315789
162,504,u08,2013-05-11,23,30,26,24,1,2,6,2,1,3,7,8,2.35,12.793750000000001,6.550724637681159,14.1875
163,505,u08,2013-05-12,25,25,23,26,1,2,3,4,3,1,11,6,9.176666666666666,8.216666666666667,10.185,8.137037037037036
164,506,u08,2013-05-13,24,24,23,30,1,1,1,2,3,9,4,10,0.0,12.135555555555557,9.866666666666664,3.1052083333333336
165,507,u08,2013-05-14,25,26,29,26,1,1,1,4,2,1,9,3,1.8083333333333336,2.152777777777778,5.11,5.666666666666667
166,508,u08,2013-05-15,24,28,25,27,1,2,2,2,2,11,15,11,3.395833333333333,21.811111111111114,15.97962962962963,11.98968253968254
167,509,u08,2013-05-16,23,27,15,25,1,2,4,3,1,4,13,5,1.35,5.466666666666667,7.854545454545455,19.790000000000003
168,510,u08,2013-05-17,13,14,16,14,1,2,5,3,1,6,8,2,1.0083333333333333,12.272916666666665,6.573333333333333,5.968253968253968
169,511,u08,2013-05-18,13,13,13,13,1,1,3,2,3,1,6,3,4.2,0.0,4.995555555555556,4.357246376811594
170,512,u08,2013-05-19,13,13,21,13,1,1,4,1,3,1,13,2,1.961111111111111,5.633333333333334,15.696428571428571,2.318055555555555
171,513,u08,2013-05-20,7,11,17,27,1,1,3,2,2,2,6,9,5.1119047619047615,0.0,6.909375000000001,5.727586206896553
172,514,u08,2013-05-21,14,17,19,20,1,1,3,4,2,6,9,10,2.35,8.413095238095238,7.070833333333333,9.696491228070174
173,515,u08,2013-05-22,17,19,22,17,1,1,3,4,1,8,11,3,1.85,17.189999999999998,14.20909090909091,15.452272727272726
174,516,u08,2013-05-23,23,12,16,23,3,1,2,4,2,2,10,9,14.904999999999998,7.733333333333333,9.157142857142858,10.133333333333333
175,517,u08,2013-05-24,16,17,17,17,1,2,1,3,2,6,2,2,0.0,18.933333333333334,32.454166666666666,9.896969696969698
176,518,u08,2013-05-25,19,21,20,18,1,1,5,3,2,1,1,4,7.0055555555555555,9.543333333333333,14.38222222222222,9.425757575757576
177,519,u08,2013-05-26,20,3,3,20,2,1,2,4,2,1,3,15,11.131481481481481,7.455555555555556,3.576190476190476,21.46944444444445
178,520,u08,2013-05-27,17,17,9,21,2,2,4,2,4,1,15,4,7.5358974358974375,17.58888888888889,5.78,24.405555555555555
179,521,u08,2013-05-28,20,20,20,24,1,1,3,3,5,4,2,9,19.522222222222222,15.503333333333334,2.741666666666667,13.285555555555556
180,522,u08,2013-05-29,34,0,0,30,1,0,0,2,2,0,0,7,14.579411764705881,0.0,0.0,9.00144927536232
181,669,u12,2013-03-27,13,19,11,18,1,3,3,2,1,9,1,0,4.2875,17.03666666666667,5.321111111111112,0.0
182,670,u12,2013-03-28,12,15,15,16,1,1,2,1,3,8,2,0,10.333333333333334,12.927272727272726,13.801666666666666,5.192592592592593
183,671,u12,2013-03-29,15,20,20,15,1,3,1,1,1,10,2,1,0.0,20.118055555555554,11.843859649122807,5.711111111111111
184,672,u12,2013-03-30,17,18,19,21,1,2,4,2,2,1,2,2,5.366666666666666,6.891666666666666,10.627272727272727,33.06666666666666
185,673,u12,2013-03-31,18,22,30,18,1,1,4,2,0,1,1,1,10.6,5.473148148148148,8.324509803921568,14.983333333333333
186,674,u12,2013-04-01,18,20,19,17,1,1,4,1,1,9,5,1,0.0,19.926388888888887,11.657575757575756,2.6645833333333333
187,675,u12,2013-04-02,18,19,21,18,1,1,3,1,0,5,2,1,0.0,13.913333333333332,14.273333333333335,0.8333333333333333
188,676,u12,2013-04-03,18,21,21,19,1,2,4,1,0,7,4,2,9.25,22.87272727272727,13.317592592592593,4.726190476190476
189,677,u12,2013-04-04,23,22,25,21,1,2,4,1,2,7,3,1,5.175000000000001,16.04074074074074,13.375641025641025,1.8499999999999996
190,678,u12,2013-04-05,24,27,32,27,1,4,4,4,0,10,1,2,0.0,17.139285714285716,15.000000000000002,29.75
191,679,u12,2013-04-06,12,12,13,11,1,1,3,2,0,1,1,1,7.566666666666667,7.0216666666666665,13.414583333333333,17.36969696969697
192,680,u12,2013-04-07,6,9,6,6,1,3,2,4,1,7,5,1,0.0,12.153703703703703,9.377777777777778,7.514285714285713
193,681,u12,2013-04-08,8,8,8,15,2,3,1,2,1,0,2,0,5.55,13.586666666666668,22.763333333333332,2.6833333333333336
194,682,u12,2013-04-09,4,13,12,10,1,2,4,3,0,5,1,5,0.0,15.733333333333336,9.80625,10.223076923076924
195,683,u12,2013-04-10,14,17,17,14,3,3,3,1,2,6,1,3,38.81666666666666,25.072916666666668,16.224999999999998,11.329629629629629
196,684,u12,2013-04-11,19,24,12,17,1,1,2,2,1,6,1,1,0.0,35.300000000000004,23.533333333333335,25.8
197,685,u12,2013-04-12,17,12,17,13,1,3,1,2,1,7,1,0,10.091666666666667,29.914285714285715,17.77948717948718,2.82
198,686,u12,2013-04-13,9,15,18,13,1,3,2,5,0,2,0,4,0.0,9.405555555555555,5.968333333333333,29.772222222222222
199,687,u12,2013-04-14,18,25,23,21,1,4,1,2,1,1,0,1,0.0,1.4333333333333333,14.370833333333332,15.3
200,688,u12,2013-04-15,21,20,25,25,1,3,2,2,1,10,2,0,14.633333333333333,21.68939393939394,2.5666666666666664,5.7979166666666675
201,689,u12,2013-04-16,16,18,20,16,1,3,3,2,0,6,3,1,0.0,22.576666666666664,28.266666666666662,22.866666666666667
202,690,u12,2013-04-17,19,20,19,18,1,4,3,2,1,10,3,1,0.0,19.787499999999998,4.616666666666666,3.3666666666666667
203,691,u12,2013-04-18,19,19,19,18,1,1,1,2,0,6,4,2,0.0,13.586666666666668,7.331250000000001,4.759259259259259
204,692,u12,2013-04-19,19,19,20,18,1,1,2,1,0,9,1,1,0.0,24.145000000000003,17.894444444444446,2.4375
205,693,u12,2013-04-20,20,20,21,20,1,3,3,1,0,0,1,1,0.0,7.647916666666667,5.4870370370370365,4.991666666666666
206,694,u12,2013-04-21,21,22,23,21,1,1,2,1,1,0,0,0,0.0,5.439583333333333,3.697222222222223,9.544444444444444
